#ID,display,name,host,thumbnail,image,description,location,time,endDate,pricing,link
11,no,"LONG BIEN INVITES
A Taste of ""Home"" by Chef Yuni and Chef Hieu",Déglacer,poster LB4.jpg,"poster LB4.jpg
(print) LB4 food menu@4x.png","We’re back and couldn’t be more excited to continue our Long Biên series with a new episode. Every event is a chance to bring people together, and this time, we’re truly honored to welcome Chef Sri Wahyuni from Indonesia to Déglacer.

👩‍🍳 Chef Yuni has an incredible journey, with years of experience in both Indonesia and Hong Kong. Her passion for authentic Indonesian cuisine shines through in every dish. Expect bold Southeast Asian flavors, beautifully balanced with global influences. For this event, she’ll be sharing the heart and soul of her hometown, Surabaya, with you all.

""A Taste of Home"" - A special À la carte - it’s about comfort, warmth, and the feeling of being surrounded by those you love. Chef Yuni and Chef Hieu will bring the homestyle flavors of Indonesia and France to remind you of those cozy family dinners.

Some lovely wines from Da Loc are ready for ya to sip while devouring tasty dishes from both chefs.
Welcome to our home in Long Biên! Book your table now—this is a one-night-only event, and we can’t wait to share it with you and your loved ones!

📅 Date: Oct 11, 2024
🕠 Time: 5.30PM - 9.30PM
📍 Location: Déglacer - No 18, Lane 268, Ngoc Thuy, Long Bien, Hanoi","Déglacer, số 18, Ngõ 268 Ngọc Thuỵ, Long Biên, Hà Nội",11/10/2024 | 17h30 - 21h30,12/10/2024,,https://www.facebook.com/share/9D3uT5jrzpkCd774/
12,no,HALLOWEEN IN THE HOOD,Déglacer,hlw.jpeg,"hlw.jpeg
hlw2.jpeg
hlw3.jpeg
hlw4.jpeg
hlw5.jpeg","It's time to turn the hood into haunted! 🎃  
We're inviting you to ""𝗛𝗮𝗹𝗹𝗼𝘄𝗲𝗲𝗻 𝗶𝗻 𝘁𝗵𝗲 𝗵𝗼𝗼𝗱"" 👻 — a fun, funky event full of spooky surprises.  

🍭 Get crafty with pumpkin decorating, enjoy delicious treats, sip on spooky drinks and desserts, and flaunt your costume at the corner. It promises to be a blast!  
✨ Special Halloween Menu:  
👻 Bloody Cocktail 150k  
👻 Spooky Mocktail 120k  
👻 Eye-See-You Pumpkin Dessert 80k  
🍪 Get 1 free bag of Boo-bites cookies when you order any special Halloween items!  

Mark your calendar for our Halloween magic week!  
🎃 Oct 26th-31st at Déglacer  
🔮 Free entry for everyone  ","Déglacer, số 18, Ngõ 268 Ngọc Thuỵ, Long Biên, Hà Nội",26/10/2024,31/10/2024,,https://www.facebook.com/share/wgJ1DhvweYmLcjC2/
13,yes,LONG BIEN INVITES: Chef Bryan and Chef Rocio from Capos,Déglacer,springfest.jpg,,,"Déglacer, số 18, Ngõ 268 Ngọc Thuỵ, Long Biên, Hà Nội",6/3/2025,6/3/2025,,
14,no,,,,,,,,,,
15,no,,,,,,,,,,
16,no,,,,,,,,,,
17,no,,,,,,,,,,
18,no,,,,,,,,,,
19,no,,,,,,,,,,
20,no,,,,,,,,,,
21,no,,,,,,,,,,
22,no,,,,,,,,,,
23,no,,,,,,,,,,
24,no,,,,,,,,,,
25,no,,,,,,,,,,
26,no,,,,,,,,,,
27,no,,,,,,,,,,
28,no,,,,,,,,,,
29,no,,,,,,,,,,
30,no,,,,,,,,,,
31,no,,,,,,,,,,
32,no,,,,,,,,,,
33,no,,,,,,,,,,
34,no,,,,,,,,,,
35,no,,,,,,,,,,
36,no,,,,,,,,,,
37,no,,,,,,,,,,
38,no,,,,,,,,,,
39,no,,,,,,,,,,
40,no,,,,,,,,,,
41,no,,,,,,,,,,
42,no,,,,,,,,,,
43,no,,,,,,,,,,
44,no,,,,,,,,,,
45,no,,,,,,,,,,
46,no,,,,,,,,,,
47,no,,,,,,,,,,
48,no,,,,,,,,,,
49,no,,,,,,,,,,
50,no,,,,,,,,,,
51,no,,,,,,,,,,
52,no,,,,,,,,,,
53,no,,,,,,,,,,
54,no,,,,,,,,,,
55,no,,,,,,,,,,
56,no,,,,,,,,,,
57,no,,,,,,,,,,
58,no,,,,,,,,,,
59,no,,,,,,,,,,
60,no,,,,,,,,,,
61,no,,,,,,,,,,
62,no,,,,,,,,,,
63,no,,,,,,,,,,
64,no,,,,,,,,,,
65,no,,,,,,,,,,
66,no,,,,,,,,,,
67,no,,,,,,,,,,
68,no,,,,,,,,,,
69,no,,,,,,,,,,
70,no,,,,,,,,,,
71,no,,,,,,,,,,
72,no,,,,,,,,,,
73,no,,,,,,,,,,
74,no,,,,,,,,,,
75,no,,,,,,,,,,
76,no,,,,,,,,,,
77,no,,,,,,,,,,
78,no,,,,,,,,,,
79,no,,,,,,,,,,
80,no,,,,,,,,,,
81,no,,,,,,,,,,
82,no,,,,,,,,,,
83,no,,,,,,,,,,
84,no,,,,,,,,,,
85,no,,,,,,,,,,
86,no,,,,,,,,,,
87,no,,,,,,,,,,
88,no,,,,,,,,,,
89,no,,,,,,,,,,
90,no,,,,,,,,,,
91,no,,,,,,,,,,
92,no,,,,,,,,,,
93,no,,,,,,,,,,
94,no,,,,,,,,,,
95,no,,,,,,,,,,
96,no,,,,,,,,,,
97,no,,,,,,,,,,
98,no,,,,,,,,,,
99,no,,,,,,,,,,
100,no,,,,,,,,,,
101,no,,,,,,,,,,
102,no,,,,,,,,,,
103,no,,,,,,,,,,
104,no,,,,,,,,,,
105,no,,,,,,,,,,
106,no,,,,,,,,,,
107,no,,,,,,,,,,
108,no,,,,,,,,,,
109,no,,,,,,,,,,
110,no,,,,,,,,,,
111,no,,,,,,,,,,
112,no,,,,,,,,,,
113,no,,,,,,,,,,
114,no,,,,,,,,,,
115,no,,,,,,,,,,
116,no,,,,,,,,,,
117,no,,,,,,,,,,
118,no,,,,,,,,,,
119,no,,,,,,,,,,
120,no,,,,,,,,,,
121,no,,,,,,,,,,
122,no,,,,,,,,,,
123,no,,,,,,,,,,
124,no,,,,,,,,,,
125,no,,,,,,,,,,
126,no,,,,,,,,,,
127,no,,,,,,,,,,
128,no,,,,,,,,,,
129,no,,,,,,,,,,
130,no,,,,,,,,,,
131,no,,,,,,,,,,
132,no,,,,,,,,,,
133,no,,,,,,,,,,
134,no,,,,,,,,,,
135,no,,,,,,,,,,
136,no,,,,,,,,,,
137,no,,,,,,,,,,
138,no,,,,,,,,,,
139,no,,,,,,,,,,
140,no,,,,,,,,,,
141,no,,,,,,,,,,
142,no,,,,,,,,,,
143,no,,,,,,,,,,
144,no,,,,,,,,,,
145,,,,,,,,,,,
146,,,,,,,,,,,
147,,,,,,,,,,,
148,,,,,,,,,,,
149,,,,,,,,,,,
150,,,,,,,,,,,
151,,,,,,,,,,,
152,,,,,,,,,,,
153,,,,,,,,,,,
154,,,,,,,,,,,
155,,,,,,,,,,,
156,,,,,,,,,,,
157,,,,,,,,,,,
158,,,,,,,,,,,
159,,,,,,,,,,,
160,,,,,,,,,,,
161,,,,,,,,,,,
162,,,,,,,,,,,
163,,,,,,,,,,,
164,,,,,,,,,,,
165,,,,,,,,,,,
166,,,,,,,,,,,
167,,,,,,,,,,,
168,,,,,,,,,,,
169,,,,,,,,,,,
170,,,,,,,,,,,
171,,,,,,,,,,,
172,,,,,,,,,,,
173,,,,,,,,,,,
174,,,,,,,,,,,
175,,,,,,,,,,,
176,,,,,,,,,,,
177,,,,,,,,,,,
178,,,,,,,,,,,
179,,,,,,,,,,,
180,,,,,,,,,,,
181,,,,,,,,,,,
182,,,,,,,,,,,
183,,,,,,,,,,,
184,,,,,,,,,,,
185,,,,,,,,,,,
186,,,,,,,,,,,
187,,,,,,,,,,,
188,,,,,,,,,,,
189,,,,,,,,,,,
190,,,,,,,,,,,
191,,,,,,,,,,,
192,,,,,,,,,,,
193,,,,,,,,,,,
194,,,,,,,,,,,
195,,,,,,,,,,,
196,,,,,,,,,,,
197,,,,,,,,,,,
198,,,,,,,,,,,
199,,,,,,,,,,,
200,,,,,,,,,,,
201,,,,,,,,,,,
202,,,,,,,,,,,
203,,,,,,,,,,,
204,,,,,,,,,,,
205,,,,,,,,,,,
206,,,,,,,,,,,
207,,,,,,,,,,,
208,,,,,,,,,,,
209,,,,,,,,,,,
210,,,,,,,,,,,
211,,,,,,,,,,,
212,,,,,,,,,,,
213,,,,,,,,,,,
214,,,,,,,,,,,
215,,,,,,,,,,,
216,,,,,,,,,,,
217,,,,,,,,,,,
218,,,,,,,,,,,
219,,,,,,,,,,,
220,,,,,,,,,,,
221,,,,,,,,,,,
222,,,,,,,,,,,
223,,,,,,,,,,,
224,,,,,,,,,,,
225,,,,,,,,,,,
226,,,,,,,,,,,
227,,,,,,,,,,,
228,,,,,,,,,,,
229,,,,,,,,,,,
230,,,,,,,,,,,
231,,,,,,,,,,,
232,,,,,,,,,,,
233,,,,,,,,,,,
234,,,,,,,,,,,
235,,,,,,,,,,,
236,,,,,,,,,,,
237,,,,,,,,,,,
238,,,,,,,,,,,
239,,,,,,,,,,,
240,,,,,,,,,,,
241,,,,,,,,,,,
242,,,,,,,,,,,
243,,,,,,,,,,,
244,,,,,,,,,,,
245,,,,,,,,,,,
246,,,,,,,,,,,
247,,,,,,,,,,,
248,,,,,,,,,,,
249,,,,,,,,,,,
250,,,,,,,,,,,
251,,,,,,,,,,,
252,,,,,,,,,,,
253,,,,,,,,,,,
254,,,,,,,,,,,
255,,,,,,,,,,,
256,,,,,,,,,,,
257,,,,,,,,,,,
258,,,,,,,,,,,
259,,,,,,,,,,,
260,,,,,,,,,,,
261,,,,,,,,,,,
262,,,,,,,,,,,
263,,,,,,,,,,,
264,,,,,,,,,,,
265,,,,,,,,,,,
266,,,,,,,,,,,
267,,,,,,,,,,,
268,,,,,,,,,,,
269,,,,,,,,,,,
270,,,,,,,,,,,
271,,,,,,,,,,,
272,,,,,,,,,,,
273,,,,,,,,,,,
274,,,,,,,,,,,
275,,,,,,,,,,,
276,,,,,,,,,,,
277,,,,,,,,,,,
278,,,,,,,,,,,
279,,,,,,,,,,,
280,,,,,,,,,,,
281,,,,,,,,,,,
282,,,,,,,,,,,
283,,,,,,,,,,,
284,,,,,,,,,,,
285,,,,,,,,,,,
286,,,,,,,,,,,
287,,,,,,,,,,,
288,,,,,,,,,,,
289,,,,,,,,,,,
290,,,,,,,,,,,
291,,,,,,,,,,,
292,,,,,,,,,,,
293,,,,,,,,,,,
294,,,,,,,,,,,
295,,,,,,,,,,,
296,,,,,,,,,,,
297,,,,,,,,,,,
298,,,,,,,,,,,
299,,,,,,,,,,,
300,,,,,,,,,,,
301,,,,,,,,,,,
302,,,,,,,,,,,
303,,,,,,,,,,,
304,,,,,,,,,,,
305,,,,,,,,,,,
306,,,,,,,,,,,
307,,,,,,,,,,,
308,,,,,,,,,,,
309,,,,,,,,,,,
310,,,,,,,,,,,
311,,,,,,,,,,,
312,,,,,,,,,,,
313,,,,,,,,,,,
314,,,,,,,,,,,
315,,,,,,,,,,,
316,,,,,,,,,,,
317,,,,,,,,,,,
318,,,,,,,,,,,
319,,,,,,,,,,,
320,,,,,,,,,,,
321,,,,,,,,,,,
322,,,,,,,,,,,
323,,,,,,,,,,,
324,,,,,,,,,,,
325,,,,,,,,,,,
326,,,,,,,,,,,
327,,,,,,,,,,,
328,,,,,,,,,,,
329,,,,,,,,,,,
330,,,,,,,,,,,
331,,,,,,,,,,,
332,,,,,,,,,,,
333,,,,,,,,,,,
334,,,,,,,,,,,
335,,,,,,,,,,,
336,,,,,,,,,,,
337,,,,,,,,,,,
338,,,,,,,,,,,
339,,,,,,,,,,,
340,,,,,,,,,,,
341,,,,,,,,,,,
342,,,,,,,,,,,
343,,,,,,,,,,,
344,,,,,,,,,,,
345,,,,,,,,,,,
346,,,,,,,,,,,
347,,,,,,,,,,,
348,,,,,,,,,,,
349,,,,,,,,,,,
350,,,,,,,,,,,
351,,,,,,,,,,,
352,,,,,,,,,,,
353,,,,,,,,,,,
354,,,,,,,,,,,
355,,,,,,,,,,,
356,,,,,,,,,,,
357,,,,,,,,,,,
358,,,,,,,,,,,
359,,,,,,,,,,,
360,,,,,,,,,,,
361,,,,,,,,,,,
362,,,,,,,,,,,
363,,,,,,,,,,,
364,,,,,,,,,,,
365,,,,,,,,,,,
366,,,,,,,,,,,
367,,,,,,,,,,,
368,,,,,,,,,,,
369,,,,,,,,,,,
370,,,,,,,,,,,
371,,,,,,,,,,,
372,,,,,,,,,,,
373,,,,,,,,,,,
374,,,,,,,,,,,
375,,,,,,,,,,,
376,,,,,,,,,,,
377,,,,,,,,,,,
378,,,,,,,,,,,
379,,,,,,,,,,,
380,,,,,,,,,,,
381,,,,,,,,,,,
382,,,,,,,,,,,
383,,,,,,,,,,,
384,,,,,,,,,,,
385,,,,,,,,,,,
386,,,,,,,,,,,
387,,,,,,,,,,,
388,,,,,,,,,,,
389,,,,,,,,,,,
390,,,,,,,,,,,
391,,,,,,,,,,,
392,,,,,,,,,,,
393,,,,,,,,,,,
394,,,,,,,,,,,
395,,,,,,,,,,,
396,,,,,,,,,,,
397,,,,,,,,,,,
398,,,,,,,,,,,
399,,,,,,,,,,,
400,,,,,,,,,,,
401,,,,,,,,,,,
402,,,,,,,,,,,
403,,,,,,,,,,,
404,,,,,,,,,,,
405,,,,,,,,,,,
406,,,,,,,,,,,
407,,,,,,,,,,,
408,,,,,,,,,,,
409,,,,,,,,,,,
410,,,,,,,,,,,
411,,,,,,,,,,,
412,,,,,,,,,,,
413,,,,,,,,,,,
414,,,,,,,,,,,
415,,,,,,,,,,,
416,,,,,,,,,,,
417,,,,,,,,,,,
418,,,,,,,,,,,
419,,,,,,,,,,,
420,,,,,,,,,,,
421,,,,,,,,,,,
422,,,,,,,,,,,
423,,,,,,,,,,,
424,,,,,,,,,,,
425,,,,,,,,,,,
426,,,,,,,,,,,
427,,,,,,,,,,,
428,,,,,,,,,,,
429,,,,,,,,,,,
430,,,,,,,,,,,
431,,,,,,,,,,,
432,,,,,,,,,,,
433,,,,,,,,,,,
434,,,,,,,,,,,
435,,,,,,,,,,,
436,,,,,,,,,,,
437,,,,,,,,,,,
438,,,,,,,,,,,
439,,,,,,,,,,,
440,,,,,,,,,,,
441,,,,,,,,,,,
442,,,,,,,,,,,
443,,,,,,,,,,,
444,,,,,,,,,,,
445,,,,,,,,,,,
446,,,,,,,,,,,
447,,,,,,,,,,,
448,,,,,,,,,,,
449,,,,,,,,,,,
450,,,,,,,,,,,
451,,,,,,,,,,,
452,,,,,,,,,,,
453,,,,,,,,,,,
454,,,,,,,,,,,
455,,,,,,,,,,,
456,,,,,,,,,,,
457,,,,,,,,,,,
458,,,,,,,,,,,
459,,,,,,,,,,,
460,,,,,,,,,,,
461,,,,,,,,,,,
462,,,,,,,,,,,
463,,,,,,,,,,,
464,,,,,,,,,,,
465,,,,,,,,,,,
466,,,,,,,,,,,
467,,,,,,,,,,,
468,,,,,,,,,,,
469,,,,,,,,,,,
470,,,,,,,,,,,
471,,,,,,,,,,,
472,,,,,,,,,,,
473,,,,,,,,,,,
474,,,,,,,,,,,
475,,,,,,,,,,,
476,,,,,,,,,,,
477,,,,,,,,,,,
478,,,,,,,,,,,
479,,,,,,,,,,,
480,,,,,,,,,,,
481,,,,,,,,,,,
482,,,,,,,,,,,
483,,,,,,,,,,,
484,,,,,,,,,,,
485,,,,,,,,,,,
486,,,,,,,,,,,
487,,,,,,,,,,,
488,,,,,,,,,,,
489,,,,,,,,,,,
490,,,,,,,,,,,
491,,,,,,,,,,,
492,,,,,,,,,,,
493,,,,,,,,,,,
494,,,,,,,,,,,
495,,,,,,,,,,,
496,,,,,,,,,,,
497,,,,,,,,,,,
498,,,,,,,,,,,
499,,,,,,,,,,,
500,,,,,,,,,,,
501,,,,,,,,,,,
502,,,,,,,,,,,
503,,,,,,,,,,,
504,,,,,,,,,,,
505,,,,,,,,,,,
506,,,,,,,,,,,
507,,,,,,,,,,,
508,,,,,,,,,,,
509,,,,,,,,,,,
510,,,,,,,,,,,
511,,,,,,,,,,,
512,,,,,,,,,,,
513,,,,,,,,,,,
514,,,,,,,,,,,
515,,,,,,,,,,,
516,,,,,,,,,,,
517,,,,,,,,,,,
518,,,,,,,,,,,
519,,,,,,,,,,,
520,,,,,,,,,,,
521,,,,,,,,,,,
522,,,,,,,,,,,
523,,,,,,,,,,,
524,,,,,,,,,,,
525,,,,,,,,,,,
526,,,,,,,,,,,
527,,,,,,,,,,,
528,,,,,,,,,,,
529,,,,,,,,,,,
530,,,,,,,,,,,
531,,,,,,,,,,,
532,,,,,,,,,,,
533,,,,,,,,,,,
534,,,,,,,,,,,
535,,,,,,,,,,,
536,,,,,,,,,,,
537,,,,,,,,,,,
538,,,,,,,,,,,
539,,,,,,,,,,,
540,,,,,,,,,,,
541,,,,,,,,,,,
542,,,,,,,,,,,
543,,,,,,,,,,,
544,,,,,,,,,,,
545,,,,,,,,,,,
546,,,,,,,,,,,
547,,,,,,,,,,,
548,,,,,,,,,,,
549,,,,,,,,,,,
550,,,,,,,,,,,
551,,,,,,,,,,,
552,,,,,,,,,,,
553,,,,,,,,,,,
554,,,,,,,,,,,
555,,,,,,,,,,,
